Book Name,exact_book_name,author,publish_date,ratings_count,goodreads_link
12 rules for life,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,261104,https://www.goodreads.com/book/show/30257963-12-rules-for-life?from_search=true&from_srp=true&qid=Gdf0SR00xV&rank=1
13 steps to bloody good wealth,13 Steps to Bloody Good Wealth,Ashwin Sanghi,2016,962,https://www.goodreads.com/book/show/32721144-13-steps-to-bloody-good-wealth?from_search=true&from_srp=true&qid=d7POOzmVlu&rank=1
13 Things Mentally Strong People Don't Do:,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,2014,28647,https://www.goodreads.com/book/show/23215490-13-things-mentally-strong-people-don-t-do?from_search=true&from_srp=true&qid=5K2Z9JmsH3&rank=1
168 hours,168 Hours: You Have More Time Than You Think,Laura Vanderkam,2010,11113,https://www.goodreads.com/book/show/7847359-168-hours?from_search=true&from_srp=true&qid=bw14px3Y6L&rank=1
5 love languages,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,1990,472063,https://www.goodreads.com/book/show/23878688-the-5-love-languages?from_search=true&from_srp=true&qid=6jE9N04MIN&rank=1
A guide to the good life,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,2008,26844,https://www.goodreads.com/book/show/5617966-a-guide-to-the-good-life?from_search=true&from_srp=true&qid=pzeENg1FaA&rank=1
Act like a lady think like a man,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,2009,51706,https://www.goodreads.com/book/show/6023056-act-like-a-lady-think-like-a-man?from_search=true&from_srp=true&qid=uS4LAERBmu&rank=1
Andy Warhol,The Philosophy of Andy Warhol,Andy Warhol,1975,48246,https://www.goodreads.com/book/show/31818.The_Philosophy_of_Andy_Warhol?from_search=true&from_srp=true&qid=ZxoGbiivvB&rank=1
Anxious,Anxious People,Fredrik Backman,2019,770657,https://www.goodreads.com/book/show/49127718-anxious-people?from_search=true&from_srp=true&qid=Z29YA3NT4F&rank=1
Total Recall,Total Recall: My Unbelievably True Life Story,Arnold Schwarzenegger,2012,23267,https://www.goodreads.com/book/show/14546626-total-recall?from_search=true&from_srp=true&qid=yPLeYhzpxp&rank=1
Atomic habits,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,2018,1223563,https://www.goodreads.com/book/show/40121378-atomic-habits?from_search=true&from_srp=true&qid=B3cwdJOVKV&rank=1
Awkward,Awkward (Berrybrook Middle School #1),Svetlana Chmakova,2015,52094,https://www.goodreads.com/book/show/23657454-awkward?from_search=true&from_srp=true&qid=kh4A2VlXEY&rank=1
Be Calm: Proven Techniques to Stop Anxiety Now,Be Calm: Proven Techniques to Stop Anxiety Now,Jill P. Weber,,1128,https://www.goodreads.com/book/show/44101576-be-calm?from_search=true&from_srp=true&qid=PQvKKcQ30w&rank=1
Be fearless,Be Fearless: 5 Principles for a Life of Breakthroughs and Purpose,Jean Case,2019,968,https://www.goodreads.com/book/show/40539159-be-fearless?from_search=true&from_srp=true&qid=w6tTr1VcGm&rank=1
